client_id,top1,top2,top3,top4,top5
000be0ddb26c78032de953313a60adbaf30a9492fd70b8567316c192566c3b9f,Cidade_444,Cidade_1441,Cidade_1093,Cidade_307,Cidade_676
003e92c14650be88db51eeeb35ff0b564b3fd0d4c7de073ae6311c3231c33bcb,Cidade_1479,Cidade_2004,Cidade_2231,Cidade_226,Cidade_888
004aa4dbc4e35d318a0201065335aa2fe95c78abe9573f171b6313e9ab699a3a,Cidade_718,Cidade_2266,Cidade_2040,Cidade_704,Cidade_704
005f0cea80f8be9587925f8c86aa3403a2bd2f9c02362f024d6ad5ae32c4bed1,Cidade_328,Cidade_704,Cidade_704,Cidade_704,Cidade_704
0072b4fde666a48136cb9bf1dce535d5c5b2031c4121996aec312d4d3776e431,Cidade_434,Cidade_568,Cidade_1849,Cidade_647,Cidade_72
007943b703a61c32e2af4f27dc52d2ee7ac040f8f6e019fbb038daebb59204b6,Cidade_980,Cidade_1026,Cidade_225,Cidade_996,Cidade_704
00ffa20f382b8cc913a0cb1e1170528dcf2b628f3eaf4a5b33193b6331b9cace,Cidade_704,Cidade_704,Cidade_704,Cidade_704,Cidade_704
011f0a43600134b09ed1206d3ea99aba317a0a80164c83275c1a52a910dd5b1f,Cidade_936,Cidade_332,Cidade_704,Cidade_704,Cidade_704
0123e15412c2b64c4ca611d6cd27560a75341c517c899a0e5c8f5b9f1d17b548,Cidade_1775,Cidade_704,Cidade_704,Cidade_704,Cidade_704
012744f15f0d0293c0a84b585f5003787af3953b2cd24096ade015580754b057,Cidade_1462,Cidade_726,Cidade_138,Cidade_1339,Cidade_960
012bb2b0453db373b85e6469c6ebb9b90aacbcc85952d37e37f70ece51d32fd0,Cidade_1218,Cidade_226,Cidade_962,Cidade_1738,Cidade_1964
012f1da87ece8dea86c78d09b866cf5758e560038982cac92b8411793fd743a8,Cidade_1784,Cidade_1255,Cidade_704,Cidade_704,Cidade_704
019bf75044bf287a236bb84746bac48b7d55d7bdb834ee2945a5353ebe8b2d06,Cidade_1725,Cidade_704,Cidade_704,Cidade_704,Cidade_704
01a57b7b8b55bbf7e81e12334f86247b8a80101d5a36a449c89a4cae5e3bf593,Cidade_840,Cidade_708,Cidade_973,Cidade_704,Cidade_704
01b8e61ad110862647eae2657f785feddaed5e0bd3a934b39361aa9915867474,Cidade_93,Cidade_479,Cidade_2111,Cidade_2291,Cidade_1718
025bd6df80dd009236752c3cf71edcb1da59c4b3306261f2581ed01e894e7d3c,Cidade_1318,Cidade_704,Cidade_704,Cidade_704,Cidade_704
027f61def28ba66a442dd35148012f47d9795066850da396bd9eceec9cca0865,Cidade_1802,Cidade_704,Cidade_704,Cidade_704,Cidade_704
028429e908c57af464327312669f83c0da7d7c56a2a9d1d16f5f1820c063e33c,Cidade_226,Cidade_1964,Cidade_295,Cidade_888,Cidade_2000
02c0143576aeda5b0739f8312841fe912b6c9fc5391949ab2147e383d5764f88,Cidade_1901,Cidade_704,Cidade_704,Cidade_704,Cidade_704
02c4a1e9806cbf1f49b6141f50225bfae99928a53394f264a2a4c47891228144,Cidade_649,Cidade_520,Cidade_1719,Cidade_335,Cidade_704
0301710663c8f96660500e7cc58cfe4ad55e426b6e05dcf477c18059f700ddf4,Cidade_316,Cidade_704,Cidade_704,Cidade_704,Cidade_704
037e165246bee98d1d9079bf7b4094a44cd88fe2996aa20c982a7bfeb375111d,Cidade_708,Cidade_1100,Cidade_704,Cidade_704,Cidade_704
0382ae78c60a052fea53dc9c6f09034be36f82b93aef4a9b991e5a449471a7df,Cidade_993,Cidade_704,Cidade_704,Cidade_704,Cidade_704
0383d6c84478a61561837632ca65e56ae799656ce1849bdcabec718b1c7dccd1,Cidade_872,Cidade_704,Cidade_704,Cidade_704,Cidade_704
03d4a8f203ef93bef5d615f53bef4226d918c9ef815c482998203729d362c480,Cidade_1120,Cidade_2354,Cidade_1433,Cidade_1055,Cidade_1035
03e0aebd2b610607a1e81de710b7fd8761ed917edfced64c68c7e81de2cfc4af,Cidade_107,Cidade_294,Cidade_448,Cidade_1622,Cidade_1565
03f3e306cb562a167c4208cf29bf112ea3fc83151b7a5aa82a363d698ed67e92,Cidade_1943,Cidade_986,Cidade_136,Cidade_301,Cidade_764
046177f2dc311aeab7fd5ae08e5b17c6602f07f3ed1d78d3c3b5dc67e438cf05,Cidade_1436,Cidade_2232,Cidade_1551,Cidade_1212,Cidade_704
04998c2ff6c1b69996755a40f8ad5d5fdb857cd4cca6e57b578f954575657f00,Cidade_2256,Cidade_2371,Cidade_1313,Cidade_1540,Cidade_1636
04d03ba298abd223865584016a199f247c651a0c80db56d1356a44a049e7003a,Cidade_442,Cidade_704,Cidade_704,Cidade_704,Cidade_704
04e1221b8b534f31b50743bd288c118ff2a20f767d02de0316fd5b0203c174f2,Cidade_1522,Cidade_704,Cidade_704,Cidade_704,Cidade_704
04e3cf073d0001b6198ec86f5ae648a49d70271994e5cebae000115eb3661348,Cidade_2015,Cidade_518,Cidade_1524,Cidade_704,Cidade_704
