client_id,top1,top2,top3,top4,top5
000be0ddb26c78032de953313a60adbaf30a9492fd70b8567316c192566c3b9f,Cidade_444,Cidade_1441,Cidade_1093,Cidade_307,Cidade_676
003e92c14650be88db51eeeb35ff0b564b3fd0d4c7de073ae6311c3231c33bcb,Cidade_1479,Cidade_2004,Cidade_2231,Cidade_226,Cidade_888
004aa4dbc4e35d318a0201065335aa2fe95c78abe9573f171b6313e9ab699a3a,Cidade_718,Cidade_2266,Cidade_2040,Cidade_704,Cidade_704
005f0cea80f8be9587925f8c86aa3403a2bd2f9c02362f024d6ad5ae32c4bed1,Cidade_328,Cidade_704,Cidade_704,Cidade_704,Cidade_704
0072b4fde666a48136cb9bf1dce535d5c5b2031c4121996aec312d4d3776e431,Cidade_434,Cidade_568,Cidade_1849,Cidade_647,Cidade_72
007943b703a61c32e2af4f27dc52d2ee7ac040f8f6e019fbb038daebb59204b6,Cidade_980,Cidade_1026,Cidade_225,Cidade_996,Cidade_704
008f8c704f5cfb77663ba8c51b0a39d7ce77b08952fa7718a8e491dd7ed7cf52,Cidade_270,Cidade_226,Cidade_2231,Cidade_1964,Cidade_2043
009b3e90b9233e2c9852c2fa45949476f5753678a3724570c61dde5dc5115b05,Cidade_180,Cidade_704,Cidade_704,Cidade_704,Cidade_704
00b66cbeb818575e0a630874d3f515660a0b1ecd1ff169901bd8149b647da900,Cidade_1646,Cidade_704,Cidade_704,Cidade_704,Cidade_704
00d287d2f796dbdcbc8610c544bda038200516385f7070c778635d79de389fee,Cidade_102,Cidade_226,Cidade_270,Cidade_1964,Cidade_1845
00e4b6556681b102b457ed0bbec5e8c58d02f5ace4fa6128c4a7007f65a5d70e,Cidade_1938,Cidade_862,Cidade_36,Cidade_2094,Cidade_519
00ffa20f382b8cc913a0cb1e1170528dcf2b628f3eaf4a5b33193b6331b9cace,Cidade_704,Cidade_704,Cidade_704,Cidade_704,Cidade_704
011f0a43600134b09ed1206d3ea99aba317a0a80164c83275c1a52a910dd5b1f,Cidade_936,Cidade_332,Cidade_704,Cidade_704,Cidade_704
0123e15412c2b64c4ca611d6cd27560a75341c517c899a0e5c8f5b9f1d17b548,Cidade_1775,Cidade_704,Cidade_704,Cidade_704,Cidade_704
012744f15f0d0293c0a84b585f5003787af3953b2cd24096ade015580754b057,Cidade_1462,Cidade_726,Cidade_138,Cidade_1339,Cidade_960
012bb2b0453db373b85e6469c6ebb9b90aacbcc85952d37e37f70ece51d32fd0,Cidade_1218,Cidade_226,Cidade_962,Cidade_1738,Cidade_1964
012f1da87ece8dea86c78d09b866cf5758e560038982cac92b8411793fd743a8,Cidade_1784,Cidade_1255,Cidade_704,Cidade_704,Cidade_704
015bf147cffd9f59b159c94fe12a091b38920596368c62ad7c87d030dffdbbd7,Cidade_396,Cidade_704,Cidade_704,Cidade_704,Cidade_704
019bf75044bf287a236bb84746bac48b7d55d7bdb834ee2945a5353ebe8b2d06,Cidade_1725,Cidade_704,Cidade_704,Cidade_704,Cidade_704
01a3d12441a7ffe3049548b27b5485e02d3c4a8e3555853e06496f54f4b88369,Cidade_727,Cidade_704,Cidade_704,Cidade_704,Cidade_704
01a57b7b8b55bbf7e81e12334f86247b8a80101d5a36a449c89a4cae5e3bf593,Cidade_840,Cidade_708,Cidade_973,Cidade_704,Cidade_704
01b8e61ad110862647eae2657f785feddaed5e0bd3a934b39361aa9915867474,Cidade_93,Cidade_479,Cidade_2111,Cidade_2291,Cidade_1718
01d093e6c60a19e734339c5ae85cdd740187eea320d8aa1ab77644ec04f11918,Cidade_504,Cidade_704,Cidade_704,Cidade_704,Cidade_704
01f5d266e122e6572d9cb615740a26277ecfdea5d9dcde20eb47cb11e0624932,Cidade_899,Cidade_704,Cidade_704,Cidade_704,Cidade_704
022a432b91585cd8d48cab01f316472b09766db53b37526e1311cd1b0e0e9056,Cidade_2044,Cidade_596,Cidade_38,Cidade_2360,Cidade_693
025bd6df80dd009236752c3cf71edcb1da59c4b3306261f2581ed01e894e7d3c,Cidade_1318,Cidade_704,Cidade_704,Cidade_704,Cidade_704
026b59b6805add7f67f3b1902cc49d81ecec5e0f6beb28450ec235c21188501c,Cidade_1874,Cidade_716,Cidade_503,Cidade_704,Cidade_704
027f61def28ba66a442dd35148012f47d9795066850da396bd9eceec9cca0865,Cidade_1802,Cidade_704,Cidade_704,Cidade_704,Cidade_704
028429e908c57af464327312669f83c0da7d7c56a2a9d1d16f5f1820c063e33c,Cidade_226,Cidade_1964,Cidade_295,Cidade_888,Cidade_2000
028bc49fff3b750560e1bca4731909e67d639dc0b56dc27ed30903d22ad7e8ec,Cidade_211,Cidade_1575,Cidade_704,Cidade_704,Cidade_704
028d25f45758a03e92468d51921f728922205e68ef0d6a0897a93bdac9ace842,Cidade_1201,Cidade_704,Cidade_704,Cidade_704,Cidade_704
02a0b7b5f6dad8ef807758751b8fee27a5a630b5f40a5dca73010c0c5f67709e,Cidade_263,Cidade_461,Cidade_1797,Cidade_2090,Cidade_704
02c0143576aeda5b0739f8312841fe912b6c9fc5391949ab2147e383d5764f88,Cidade_1901,Cidade_704,Cidade_704,Cidade_704,Cidade_704
